Phone,Account.Length,Day.Mins,Day.Calls,Day.Charge,Eve.Mins,Eve.Calls,Eve.Charge,Night.Mins,Night.Calls,Night.Charge,Intl.Mins,Intl.Calls,Intl.Charge,CustServ.Calls,Churn.
383-6029,135,173.1,85,29.43,203.9,107,17.33,122.2,78,5.5,14.6,15,3.94,0,True.
390-7274,160,85.8,77,14.59,165.3,110,14.05,178.5,92,8.03,9.2,4,2.48,3,False.
353-3061,59,120.9,97,20.55,213,92,18.11,163.1,116,7.34,8.5,5,2.3,2,False.
363-5450,65,211.3,120,35.92,162.6,122,13.82,134.7,118,6.06,13.2,5,3.56,3,False.
364-1995,142,187,133,31.79,134.6,74,11.44,242.2,127,10.9,7.4,5,2,2,False.
405-7146,97,133.2,135,22.64,217.2,58,18.46,70.6,79,3.18,11,3,2.97,1,False.
413-4957,52,191.9,108,32.62,269.8,96,22.93,236.8,87,10.66,7.8,5,2.11,3,False.
420-5645,60,220.6,57,37.5,211.1,115,17.94,249,129,11.21,6.8,3,1.84,1,False.
349-4396,10,186.1,112,31.64,190.2,66,16.17,282.8,57,12.73,11.4,6,3.08,2,False.
404-3211,96,160.2,117,27.23,267.5,67,22.74,228.5,68,10.28,9.3,5,2.51,2,False.
363-5947,81,175.5,67,29.84,249.3,85,21.19,270.2,98,12.16,10.2,3,2.75,1,False.
340-5121,141,126.9,98,21.57,180,62,15.3,140.8,128,6.34,8,2,2.16,1,False.
370-7574,121,198.4,129,33.73,75.3,77,6.4,181.2,77,8.15,5.8,3,1.57,3,True.
359-5893,174,192.1,97,32.66,169.9,94,14.44,166.6,54,7.5,11.4,4,3.08,1,False.
344-5117,74,193.7,91,32.93,246.1,96,20.92,138,92,6.21,14.6,3,3.94,2,False.
332-8160,149,180.7,92,30.72,187.8,64,15.96,265.5,53,11.95,12.6,3,3.4,3,False.
359-4081,38,131.2,98,22.3,162.9,97,13.85,159,106,7.15,8.2,6,2.21,2,False.
329-9847,43,251.5,105,42.76,212.8,104,18.09,157.8,67,7.1,9.3,4,2.51,0,False.
338-9472,126,211.6,70,35.97,216.9,80,18.44,153.5,60,6.91,7.8,1,2.11,1,False.
359-1231,138,241.8,93,41.11,170.5,83,14.49,295.3,104,13.29,11.8,7,3.19,3,False.
413-7170,162,224.9,97,38.23,188.2,84,16,254.6,61,11.46,12.1,2,3.27,0,False.
399-4246,90,203.4,146,34.58,226.7,117,19.27,152.4,105,6.86,7.3,4,1.97,1,False.
362-5889,85,235.8,109,40.09,157.2,94,13.36,188.2,99,8.47,12,3,3.24,0,False.
350-8921,50,157.1,90,26.71,223.3,72,18.98,181.4,111,8.16,6.1,2,1.65,1,False.
374-5353,82,300.3,109,51.05,181,100,15.39,270.1,73,12.15,11.7,4,3.16,0,True.
360-1171,144,61.6,117,10.47,77.1,85,6.55,173,99,7.79,8.2,7,2.21,4,True.
333-1967,70,170.2,98,28.93,155.2,102,13.19,228.6,76,10.29,15,2,4.05,1,False.
354-4577,144,201.1,99,34.19,303.5,74,25.8,224,119,10.08,13.2,2,3.56,1,False.
331-7425,116,215.4,104,36.62,204.8,79,17.41,278.5,109,12.53,12.6,5,3.4,3,False.
419-2637,55,165.6,123,28.15,136.1,95,11.57,175.7,90,7.91,11,2,2.97,3,False.
411-1530,70,249.5,101,42.42,259.7,98,22.07,222.7,68,10.02,9.8,4,2.65,1,False.
395-3026,106,210.6,96,35.8,249.2,85,21.18,191.4,88,8.61,12.4,1,3.35,2,True.
388-6441,128,179.3,104,30.48,225.9,86,19.2,323,78,14.54,8.6,7,2.32,0,False.
402-1251,94,157.9,105,26.84,155,101,13.18,189.6,84,8.53,8,5,2.16,4,True.
412-9997,111,214.3,118,36.43,208.5,76,17.72,182.4,98,8.21,12,2,3.24,1,False.
346-7302,74,154.1,104,26.2,123.4,84,10.49,202.1,57,9.09,10.9,9,2.94,2,False.
334-1275,155,203.4,100,34.58,190.9,104,16.23,196,119,8.82,8.9,4,2.4,0,True.
340-4953,80,124.3,100,21.13,173,107,14.71,253.2,62,11.39,7.9,9,2.13,1,False.
387-6103,90,179.1,71,30.45,190.6,81,16.2,127.7,91,5.75,10.6,7,2.86,3,False.
366-4467,104,278.4,106,47.33,81,113,6.89,163.2,137,7.34,9.8,5,2.65,1,False.
370-3450,73,160.1,110,27.22,213.3,72,18.13,174.1,72,7.83,13,4,3.51,0,False.
327-3954,99,198.2,87,33.69,207.3,76,17.62,190.9,113,8.59,8.7,3,2.35,4,False.
362-9748,77,251.8,72,42.81,205.7,126,17.48,275.2,109,12.38,9.8,7,2.65,2,True.
379-6506,98,161.2,114,27.4,252.2,83,21.44,160.2,92,7.21,4.4,8,1.19,4,False.
347-7741,108,178.3,137,30.31,189,76,16.07,129.1,102,5.81,14.6,5,3.94,0,False.
354-3783,135,151.7,82,25.79,119,105,10.12,180,100,8.1,10.5,6,2.84,0,False.
397-4976,122,170.5,94,28.99,173.7,109,14.76,248.6,75,11.19,11.3,2,3.05,1,False.
400-3637,36,281.4,102,47.84,202.2,76,17.19,187.2,113,8.42,9,6,2.43,2,False.
383-4361,93,117.9,131,20.04,164.5,115,13.98,217,86,9.76,9.8,3,2.65,1,False.
371-4306,141,148.6,91,25.26,131.1,97,11.14,219.4,142,9.87,10.1,1,2.73,1,False.
403-4298,157,229.8,90,39.07,147.9,121,12.57,241.4,108,10.86,9.6,7,2.59,3,False.
337-4697,103,185,117,31.45,223.3,94,18.98,222.8,91,10.03,12.6,2,3.4,2,False.
383-1509,98,161,117,27.37,190.9,113,16.23,227.7,113,10.25,12.1,4,3.27,4,False.
359-9794,125,126.7,108,21.54,206,90,17.51,247.8,114,11.15,13.3,7,3.59,1,False.
407-7035,63,58.9,125,10.01,169.6,59,14.42,211.4,88,9.51,9.4,3,2.54,1,False.
363-1069,36,196.8,89,33.46,254.9,122,21.67,138.3,126,6.22,20,6,5.4,0,True.
391-4652,64,162.6,83,27.64,152.3,109,12.95,57.5,122,2.59,14.2,3,3.83,1,False.
355-6837,74,282.5,114,48.03,219.9,48,18.69,170,115,7.65,9.4,4,2.54,1,True.
409-1244,112,113.7,117,19.33,157.5,82,13.39,177.6,118,7.99,10,3,2.7,2,False.
328-3266,97,239.8,125,40.77,214.8,111,18.26,143.3,81,6.45,8.7,5,2.35,2,False.
352-7072,46,210.2,92,35.73,227.3,77,19.32,200.1,116,9,13.1,7,3.54,1,False.
370-7550,41,213.8,102,36.35,141.8,86,12.05,142.2,123,6.4,7.2,3,1.94,0,False.
369-5526,121,190.7,103,32.42,183.5,117,15.6,220.8,103,9.94,9.8,4,2.65,3,False.
329-4391,193,170.9,124,29.05,132.3,95,11.25,112.9,89,5.08,11.6,3,3.13,1,False.
335-4858,162,70.7,108,12.02,157.5,87,13.39,154.8,82,6.97,9.1,3,2.46,4,True.
409-5939,92,91.7,90,15.59,193.7,123,16.46,175,86,7.88,9.2,4,2.48,2,False.
331-4902,131,214.2,115,36.41,161.7,117,13.74,264.7,102,11.91,9.5,4,2.57,3,False.
355-2909,75,166.3,125,28.27,158.2,86,13.45,256.7,80,11.55,6.1,5,1.65,1,False.
390-6101,78,231,115,39.27,230.4,140,19.58,261.4,120,11.76,9.5,3,2.57,1,False.
400-3446,82,200.3,96,34.05,201.2,102,17.1,206.1,60,9.27,7.1,1,1.92,4,False.
411-5859,163,197,109,33.49,202.6,128,17.22,206.4,80,9.29,9.1,10,2.46,1,False.
387-2919,91,129.9,112,22.08,173.3,83,14.73,247.2,130,11.12,11.2,3,3.02,3,False.
374-8525,75,175.8,97,29.89,217.5,106,18.49,237.5,134,10.69,5.3,4,1.43,5,False.
379-5592,91,203.1,106,34.53,210.1,113,17.86,195.6,129,8.8,12,3,3.24,3,False.
422-6690,113,205,101,34.85,152,60,12.92,158.6,59,7.14,10.2,5,2.75,2,False.
374-3534,120,200.3,68,34.05,220.4,97,18.73,253.8,116,11.42,10.5,4,2.84,0,False.
381-4756,157,192.6,107,32.74,195.5,74,16.62,109.7,139,4.94,6.8,5,1.84,3,False.
390-2805,103,246.5,47,41.91,195.5,84,16.62,200.5,96,9.02,11.7,4,3.16,1,False.
390-2390,117,167.1,86,28.41,177.5,87,15.09,249.4,132,11.22,14.1,7,3.81,2,True.
386-7281,127,146.7,91,24.94,203.5,78,17.3,203.4,110,9.15,13.7,3,3.7,1,False.
380-3561,83,271.5,87,46.16,216.3,126,18.39,121.1,105,5.45,11.7,4,3.16,1,False.
366-6730,145,257.7,97,43.81,162.1,95,13.78,286.9,86,12.91,11.1,4,3,2,False.
395-5285,113,193.8,99,32.95,221.4,125,18.82,172.3,67,7.75,10.6,6,2.86,1,False.
354-3436,117,102.8,119,17.48,206.7,91,17.57,299,105,13.46,10.1,7,2.73,1,False.
336-7600,65,187.9,116,31.94,157.6,117,13.4,227.3,86,10.23,7.5,6,2.03,1,False.
362-4596,96,260.4,115,44.27,146,46,12.41,269.5,87,12.13,11.5,4,3.11,5,False.
401-3926,151,178.7,116,30.38,292.1,138,24.83,265.9,101,11.97,9.8,4,2.65,0,False.
370-9116,83,337.4,120,57.36,227.4,116,19.33,153.9,114,6.93,15.8,7,4.27,0,True.
328-6289,139,157.6,129,26.79,247,96,21,259.2,112,11.66,13.7,2,3.7,0,False.
351-4616,115,142.1,124,24.16,183.4,129,15.59,164.8,114,7.42,9.6,4,2.59,1,False.
360-5779,87,136.3,97,23.17,172.2,108,14.64,137.5,101,6.19,7.1,5,1.92,0,False.
417-4885,141,217.1,110,36.91,241.5,111,20.53,253.5,103,11.41,12,6,3.24,0,False.
406-4710,141,187.5,99,31.88,241.4,116,20.52,229.5,105,10.33,10.5,5,2.84,3,False.
361-9845,92,243.1,92,41.33,213.8,92,18.17,228.7,104,10.29,12.1,2,3.27,2,False.
366-5699,185,189.8,126,32.27,163.3,133,13.88,264.8,126,11.92,7.5,3,2.03,1,False.
329-9364,148,202,102,34.34,243.2,128,20.67,261.3,90,11.76,10.9,3,2.94,1,False.
390-7434,94,170.1,124,28.92,193.3,116,16.43,105.9,73,4.77,12.8,4,3.46,1,False.
404-9680,32,230.9,87,39.25,187.4,90,15.93,154,53,6.93,6.3,2,1.7,0,False.
338-9398,68,237.1,105,40.31,223.5,105,19,97.4,79,4.38,13.2,2,3.56,1,False.
394-2445,64,182.1,91,30.96,169.7,98,14.42,164.7,86,7.41,10.6,5,2.86,2,False.
381-2709,25,119.3,87,20.28,211.5,101,17.98,268.9,86,12.1,10.5,4,2.84,3,False.
397-5060,65,116.8,87,19.86,178.9,93,15.21,182.4,150,8.21,14.1,2,3.81,1,False.
415-2393,179,219.2,92,37.26,149.4,125,12.7,244.7,104,11.01,6.1,5,1.65,0,False.
377-1765,94,252.6,104,42.94,169,125,14.37,170.9,106,7.69,11.1,7,3,2,False.
409-2111,62,147.1,91,25.01,190.4,107,16.18,195.2,115,8.78,12.2,3,3.29,0,False.
401-3170,127,202.1,103,34.36,229.4,86,19.5,195.2,113,8.78,11.5,3,3.11,2,False.
405-5681,116,173.5,93,29.5,194.1,76,16.5,208,112,9.36,16.2,10,4.37,3,False.
411-4582,70,232.1,122,39.46,292.3,112,24.85,201.2,112,9.05,0,0,0,3,False.
355-5009,94,197.1,125,33.51,214.5,136,18.23,282.2,103,12.7,9.5,5,2.57,4,False.
372-3750,126,58.2,94,9.89,138.7,118,11.79,136.8,91,6.16,11.9,1,3.21,5,True.
405-2888,67,115.6,111,19.65,237.7,94,20.2,169.9,103,7.65,9.9,12,2.67,2,False.
361-3337,19,186.1,98,31.64,254.3,57,21.62,214,127,9.63,14.6,7,3.94,2,False.
350-1639,170,259.9,68,44.18,245,122,20.83,134.4,121,6.05,8.4,3,2.27,3,False.
333-3221,73,214.3,145,36.43,268.5,135,22.82,241.2,92,10.85,10.8,13,2.92,1,False.
422-1471,106,158.7,74,26.98,64.3,139,5.47,198.5,103,8.93,10.2,4,2.75,1,False.
399-7865,93,271.6,71,46.17,229.4,108,19.5,77.3,121,3.48,10.9,3,2.94,2,False.
373-4819,164,160.6,111,27.3,163.2,126,13.87,187.1,112,8.42,9,3,2.43,1,False.
418-4365,107,133.8,85,22.75,180.5,94,15.34,112.2,115,5.05,8.9,4,2.4,0,False.
359-5461,130,176.9,109,30.07,90.7,104,7.71,238,69,10.71,9.5,2,2.57,1,False.
375-3586,80,209.9,74,35.68,195.1,77,16.58,208.2,119,9.37,8.8,4,2.38,2,False.
408-6496,118,289.5,52,49.22,166.6,111,14.16,119.1,88,5.36,9.5,4,2.57,1,False.
385-7688,117,198.1,86,33.68,177,86,15.05,180.5,92,8.12,6.8,6,1.84,1,False.
332-6934,78,149.7,119,25.45,182.2,115,15.49,261.5,126,11.77,9.7,8,2.62,0,False.
378-3625,208,326.5,67,55.51,176.3,113,14.99,181.7,102,8.18,10.7,6,2.89,2,True.
353-7292,131,292.9,101,49.79,199.7,97,16.97,255.3,127,11.49,13.8,7,3.73,4,True.
399-6786,63,83,64,14.11,177,106,15.05,245.7,89,11.06,13,3,3.51,0,False.
397-4030,97,218,86,37.06,184,94,15.64,240.5,110,10.82,6.4,8,1.73,3,False.
367-1062,105,140.6,109,23.9,178.6,51,15.18,217,83,9.76,6.8,3,1.84,2,False.
341-8467,157,152.7,105,25.96,257.5,80,21.89,198.1,93,8.91,9.4,4,2.54,1,False.
339-9453,66,106.7,76,18.14,209.8,77,17.83,190.4,117,8.57,12.1,2,3.27,1,False.
344-3388,122,243.8,98,41.45,83.9,72,7.13,179.8,84,8.09,13.7,8,3.7,2,False.
375-8013,38,194.4,94,33.05,186.7,95,15.87,223.3,90,10.05,10.8,5,2.92,3,False.
408-4142,106,213.9,95,36.36,151.9,70,12.91,260.1,124,11.7,12.2,5,3.29,3,False.
386-3671,99,217.2,112,36.92,246.7,89,20.97,226.1,89,10.17,15.8,7,4.27,3,False.
411-2284,99,241.1,72,40.99,155.6,98,13.23,188.2,109,8.47,11.6,10,3.13,1,False.
346-7795,144,203.5,100,34.6,247.6,103,21.05,194.3,94,8.74,11.9,11,3.21,0,False.
333-5609,82,155.2,131,26.38,244.5,106,20.78,122.4,68,5.51,10.7,3,2.89,1,False.
405-1842,86,167.6,139,28.49,113,118,9.61,246.9,121,11.11,12.2,6,3.29,1,False.
366-6345,70,226.7,98,38.54,228.1,115,19.39,73.2,93,3.29,17.6,4,4.75,2,True.
337-9345,93,179.3,93,30.48,178.6,98,15.18,225.2,131,10.13,11.5,6,3.11,3,False.
328-6770,93,151.4,89,25.74,186.4,76,15.84,172.5,120,7.76,10.9,3,2.94,0,False.
380-7321,120,180,80,30.6,224.2,82,19.06,265.4,91,11.94,4.7,7,1.27,3,False.
375-1476,136,250.2,121,42.53,267.1,118,22.7,151,114,6.8,13,2,3.51,1,True.
356-1567,106,223,121,37.91,110.1,98,9.36,188.7,107,8.49,7.1,12,1.92,0,False.
422-6685,81,183.6,116,31.21,152.6,98,12.97,212.2,99,9.55,12.2,6,3.29,3,False.
336-1090,127,166,114,28.22,174.5,103,14.83,244.9,68,11.02,10.2,6,2.75,1,False.
345-3934,35,149.3,113,25.38,242.2,122,20.59,174.3,104,7.84,8.9,6,2.4,2,False.
338-8050,88,65.4,97,11.12,168.2,76,14.3,236,113,10.62,13.8,1,3.73,2,False.
402-6591,123,206.9,85,35.17,244.7,78,20.8,221.5,136,9.97,7.7,2,2.08,3,False.
403-6419,126,186.2,78,31.65,189.6,83,16.12,76.5,139,3.44,9.6,3,2.59,2,False.
386-9790,104,280.2,136,47.63,220.5,92,18.74,136.9,102,6.16,13.3,3,3.59,4,False.
360-3324,93,312,109,53.04,129.4,100,11,217.6,74,9.79,10.5,2,2.84,0,True.
410-3719,63,199,110,33.83,291.3,111,24.76,197.6,92,8.89,11,6,2.97,1,False.
352-4221,100,203.1,96,34.53,217,126,18.45,180.9,122,8.14,13.5,2,3.65,3,False.
327-6179,53,168.8,97,28.7,220.3,87,18.73,154.3,113,6.94,10.9,2,2.94,0,False.
359-6196,92,173.1,140,29.43,240.3,105,20.43,233.2,117,10.49,9,5,2.43,1,False.
374-9107,139,134.4,106,22.85,211.3,98,17.96,193.6,125,8.71,10.2,2,2.75,5,True.
366-5780,110,74.5,117,12.67,200.8,98,17.07,192.2,101,8.65,9.8,7,2.65,3,False.
393-9619,215,83.6,148,14.21,120.9,91,10.28,226.6,110,10.2,10.7,9,2.89,0,False.
355-9295,73,192.2,86,32.67,168.6,116,14.33,139.8,87,6.29,9.4,6,2.54,1,False.
400-5751,138,220.2,89,37.43,88.3,125,7.51,195.3,79,8.79,12.9,5,3.48,0,False.
338-1027,137,135.1,95,22.97,134.1,102,11.4,223.1,81,10.04,12.3,2,3.32,2,True.
405-8867,36,253.4,77,43.08,182.4,151,15.5,275.8,103,12.41,8.4,2,2.27,1,False.
336-5616,85,225,81,38.25,176.9,63,15.04,194.3,110,8.74,7.1,2,1.92,3,False.
331-5138,22,110.3,107,18.75,166.5,93,14.15,202.3,96,9.1,9.5,5,2.57,0,False.
385-8240,107,60,102,10.2,102.2,80,8.69,261.8,106,11.78,11.1,3,3,0,False.
348-1359,51,214.8,94,36.52,149.7,58,12.72,283.4,66,12.75,10.2,5,2.75,0,False.
354-7339,94,181.8,85,30.91,202.4,98,17.2,245.9,97,11.07,9.2,2,2.48,4,False.
365-2153,106,207.9,91,35.34,172,109,14.62,191.8,143,8.63,14.4,7,3.89,4,False.
349-2808,86,119,101,20.23,230,134,19.55,236.9,58,10.66,9.5,3,2.57,0,False.
377-7177,108,138.6,122,23.56,172.3,117,14.65,231.6,92,10.42,9.8,3,2.65,1,False.
342-1099,114,84.7,118,14.4,249.9,86,21.24,193.4,95,8.7,14.5,8,3.92,1,False.
386-4170,92,62.6,111,10.64,180.6,126,15.35,221.7,80,9.98,10.4,2,2.81,1,True.
413-1269,59,155.2,79,26.38,235.3,123,20,169.4,80,7.62,8.7,4,2.35,1,False.
396-4460,24,164.9,110,28.03,209.3,105,17.79,231.2,55,10.4,6.7,9,1.81,1,False.
340-3182,117,143.3,103,24.36,211.3,108,17.96,185.2,96,8.33,11.5,3,3.11,1,False.
377-8608,78,168.3,110,28.61,221.2,73,18.8,241,136,10.85,12.5,1,3.38,1,False.
411-9554,114,225.8,94,38.39,193,117,16.41,232.4,100,10.46,8.4,9,2.27,4,False.
389-1475,64,94.4,104,16.05,136.2,101,11.58,147.4,89,6.63,4.5,4,1.22,0,False.
343-7734,118,160,123,27.2,175.4,96,14.91,184.8,99,8.32,9.9,3,2.67,2,False.
410-3390,101,206.6,105,35.12,224.9,117,19.12,249.9,100,11.25,14.6,3,3.94,0,False.
344-6495,117,134.7,121,22.9,180,83,15.3,200.9,104,9.04,7.7,3,2.08,1,False.
331-6229,49,214.4,78,36.45,235.2,100,19.99,206.2,107,9.28,8,13,2.16,3,False.
337-7501,139,192.8,104,32.78,234.4,96,19.92,203.2,101,9.14,13,3,3.51,3,False.
339-9631,92,151.1,90,25.69,194.8,79,16.56,239.2,114,10.76,10,3,2.7,1,False.
369-4384,83,221.4,103,37.64,231.8,103,19.7,122.5,100,5.51,9.8,5,2.65,3,False.
416-3915,148,218.9,88,37.21,208,85,17.68,203.3,99,9.15,11.1,4,3,0,False.
339-3049,144,189.8,96,32.27,123.4,67,10.49,214.2,106,9.64,6.5,2,1.76,2,True.
361-7998,131,192.7,85,32.76,225.9,105,19.2,254.2,59,11.44,10.9,6,2.94,2,False.
355-4842,146,204.4,135,34.75,219.1,90,18.62,222.7,114,10.02,10.5,6,2.84,3,False.
387-6440,143,172.3,97,29.29,174,108,14.79,188.2,119,8.47,13,4,3.51,2,False.
369-2625,81,198.4,93,33.73,210.9,108,17.93,193.3,71,8.7,10.4,6,2.81,2,False.
370-8463,86,221.6,74,37.67,288.4,100,24.51,240.3,105,10.81,9,2,2.43,1,False.
362-7318,71,197.9,108,33.64,181.5,109,15.43,281.4,56,12.66,6.7,5,1.81,3,False.
355-9508,137,206.4,122,35.09,128,102,10.88,194.5,84,8.75,8.8,5,2.38,2,False.
352-6976,89,303.9,95,51.66,260.9,114,22.18,312.1,89,14.04,5.3,3,1.43,1,True.
393-6733,199,230.6,121,39.2,219.4,99,18.65,299.3,94,13.47,8,2,2.16,0,False.
335-1838,132,99.5,110,16.92,129.1,80,10.97,125.1,124,5.63,9.7,3,2.62,0,False.
355-6930,94,177.1,112,30.11,194,112,16.49,146.7,108,6.6,5.9,4,1.59,1,False.
387-5860,96,172.7,93,29.36,120.1,116,10.21,216.1,86,9.72,10.3,5,2.78,5,True.
343-2605,96,172.7,86,29.36,133.4,113,11.34,259.5,70,11.68,9.8,3,2.65,1,False.
350-6759,166,204.2,115,34.71,179.9,152,15.29,216.8,109,9.76,9.5,5,2.57,1,False.
371-1514,74,85.7,83,14.57,247.7,67,21.05,142.4,85,6.41,10.1,5,2.73,2,False.
346-9317,36,157.6,117,26.79,184.3,58,15.67,240.4,99,10.82,11.9,1,3.21,0,False.
412-4399,94,181.5,98,30.86,199.9,88,16.99,287.7,114,12.95,6.6,5,1.78,1,False.
330-1835,67,171.7,80,29.19,110.4,81,9.38,195.4,111,8.79,11.9,4,3.21,2,False.
416-1676,127,266.6,106,45.32,264.8,168,22.51,207.2,119,9.32,5.9,2,1.59,1,True.
329-7347,121,170.4,108,28.97,350.5,68,29.79,297,87,13.37,11.2,3,3.02,0,True.
360-6868,158,158,106,26.86,292.5,114,24.86,241.1,89,10.85,9.1,4,2.46,1,False.
393-2373,196,234,109,39.78,249.5,114,21.21,173.1,70,7.79,9.1,5,2.46,2,False.
336-3819,122,296.4,99,50.39,214.8,89,18.26,133.9,107,6.03,11.4,3,3.08,4,True.
341-3464,112,194.4,101,33.05,190.3,82,16.18,183.4,107,8.25,11.4,2,3.08,0,False.
413-5310,209,227.2,128,38.62,258.4,92,21.96,183.5,74,8.26,8.9,4,2.4,3,False.
399-8845,110,236.3,102,40.17,195.9,112,16.65,183.5,82,8.26,9.7,6,2.62,1,False.
368-2583,16,205.6,69,34.95,169.5,93,14.41,220.1,64,9.9,10.9,3,2.94,0,False.
360-6309,73,94.1,136,16,280.3,122,23.83,205,77,9.23,9.8,4,2.65,0,False.
359-5890,128,125.2,99,21.28,205.4,107,17.46,254.4,111,11.45,18.9,2,5.1,0,False.
381-9196,103,121,105,20.57,270.4,100,22.98,160.5,76,7.22,7.7,4,2.08,2,False.
329-3222,119,117.8,66,20.03,256.8,114,21.83,147.6,76,6.64,7.6,3,2.05,3,False.
363-5819,173,232.4,96,39.51,211.9,118,18.01,273,102,12.29,5,5,1.35,3,False.
413-9269,128,223.5,81,38,188.8,74,16.05,154.9,101,6.97,9.4,2,2.54,2,True.
330-7483,86,176.3,79,29.97,259.2,97,22.03,287.4,78,12.93,6.2,3,1.67,0,False.
360-2479,104,138.7,107,23.58,256.9,113,21.84,234.9,74,10.57,10,3,2.7,0,False.
394-3791,148,86.3,134,14.67,246.6,92,20.96,251.6,91,11.32,11.3,4,3.05,1,False.
384-2632,129,207,91,35.19,154.9,121,13.17,245.1,112,11.03,13.4,5,3.62,3,False.
359-8466,100,58.8,104,10,219.5,107,18.66,152.3,118,6.85,7.1,3,1.92,0,False.
331-8909,121,68.7,95,11.68,209.2,69,17.78,197.4,42,8.88,11.4,4,3.08,1,False.
330-9833,76,198.3,130,33.71,217.1,86,18.45,188.4,96,8.48,12.5,3,3.38,0,False.
362-2314,158,205.2,97,34.88,240.6,77,20.45,79.7,108,3.59,14.4,12,3.89,0,False.
338-8478,116,192.1,98,32.66,312.9,135,26.6,130.2,94,5.86,7.9,2,2.13,3,False.
387-5453,54,272.6,83,46.34,248.7,74,21.14,197.4,111,8.88,9.5,2,2.57,1,True.
380-3437,86,128.3,121,21.81,197.1,93,16.75,138.4,152,6.23,12.2,5,3.29,7,True.
396-8265,151,214.7,97,36.5,138.5,90,11.77,169.1,44,7.61,8.6,4,2.32,1,False.
333-2611,55,194.1,121,33,176.6,110,15.01,302.8,136,13.63,7,7,1.89,2,False.
